Year;#indiv;timeslope
266.0;98.5;20.62
267.0;99.0;20.69
268.0;99.5;20.76
269.0;99.0;20.83
270.0;98.0;20.9
271.0;98.0;20.97
272.0;97.0;21.04
273.0;98.0;21.11
274.0;99.0;21.18
275.0;98.0;21.25
276.0;97.0;21.32
277.0;97.0;21.39
278.0;97.5;21.46
279.0;98.5;21.53
280.0;97.0;21.6
281.0;97.0;21.67
282.0;96.5;21.74
283.0;97.5;21.81
284.0;97.5;21.88
285.0;98.0;21.95
286.0;96.5;22.02
287.0;97.0;22.09
288.0;97.5;22.16
289.0;97.0;22.23
290.0;98.0;22.3
291.0;99.5;22.37
292.0;99.0;22.44
293.0;97.0;22.51
294.0;97.5;22.58
295.0;98.5;22.65
296.0;97.5;22.72
297.0;96.0;22.79
298.0;98.0;22.86
299.0;99.5;22.93
300.0;99.0;23.0
